,,,,,,,
,PUESTO 5,PUESTO 4,PUESTO 3,PUESTO 2,PUESTO 1,,PORONGA 
Pepo,tt14208870,tt15398776,tt21378968,tt16300962,tt5537002,,tt6791350
Martin Goniondzki,tt17009710,tt14849194,tt5537002,tt21027780,tt14230458,,tt7599146
Ivan Zamora,tt5537002,tt17663992,tt10275534,tt16277242,tt14230458,,tt19623240
Ale,tt21284358,tt21738294,tt16300962,tt14230458,tt10366206,,tt7599146
Santi,tt10275534,tt16300962,tt21284358,tt5537002,tt14230458,,tt19623240
May,tt5537002,tt14407336,tt21378968,tt16300962,tt14230458,,tt17351924
Tishey,tt24068064,tt9185206,tt15006566,tt17009710,tt16300962,,tt14813150
Fernandojs,tt14230458,tt18558306,tt14849194,tt21378968,tt21284358,,tt1517268
GaryBusy,tt14849194,tt10365998,tt18558306,tt5537002,tt14230458,,tt0439572
@mauroelninja,tt15342244,tt18558306,tt5537002,tt21942866 ,tt14230458,,tt27458968
Matias Mayer,tt21027780,tt18925334,tt14208870,tt16300962,tt5537002,,tt29266871
FedeC,tt8589698,tt16277242,tt17009710,tt5537002,tt14230458,,tt14826022
Vicky_Picky,tt21942866,tt17009710,tt5537002,tt11426232,tt1517268,,tt12747748
alan,tt13866866,tt5537002,tt23182000,tt21942866,tt14230458,,tt10954984
@hitoshidiaz,tt16419074,tt16300962,tt19770238,tt18558306,tt16277242,,tt27458968
Marce,tt5537002,tt17009710,tt11396282,tt18558306,tt16300962,,tt27505768
Fer Heinz,tt10366206,tt1136617,tt5537002,tt14230458,tt16300962,,tt10954600
Clauhernan73,tt15799866,tt10638522,,tt17009710,tt16300962,,tt0439572
Nati,,,,,tt14230458,,tt14557188
Yani,tt14209916,tt13866866,tt16277242,tt21284358,tt5537002,,tt12823454
@noelyas,tt10275534,tt10366206,tt16300962,tt5537002,tt14230458,,tt22687790
@basophium,tt17009710,tt13014746,tt21284358,tt16300962,tt14230458,,tt21307994
@Lavtaro,tt27520543,tt16300962,tt5537002,tt26545300,tt11396282,,tt1160419
Anton,tt10275534,tt10366206,tt16300962,tt17009710,tt5537002,,tt10954600
@Diego_el_fugado,tt10275534,tt24070754,tt17009710,tt14509110,tt14230458,,tt1517268
lucho73r,tt16300962,tt10366206,tt9362722,tt15398776,tt5537002,,tt0439572
Mar,tt14208870,tt16300962,tt5537002,tt1517268,tt17009710,,tt15679400
@IaiIu,tt18558306,tt16300962,tt5537002,tt10366206,tt14230458,,
Hernán Rodríguez,tt21378968,tt21027780,tt5537002,tt17009710,tt14230458,,tt6722802
Santee,tt13014746,tt5537002,tt16300962,tt21027780,tt14230458,,
Juan Navarro,tt16277242,tt12758060,tt10275534,tt14849194,tt5537002,,tt10954600
@estrasnoy,tt5537002,tt10366206,tt1517268,tt14230458,tt16300962,,tt7599146
Pblo79,tt16300962,tt8589698,tt26547790,tt5537002,tt14230458,,tt9663764
@El_Diegot3,tt13521006,tt13014746,tt14849194,tt14230458,tt16300962,,tt21307994
Fedeambrosetti,tt27514598,tt18558306,tt13014746,tt21378968,tt16300962,,tt14731294
EvilIpa,,,,tt17663992,tt15398776,,tt30342692
CHINO SILVA,tt5537002,tt1517268,tt16277242,tt10366206,tt13345606 ,,tt1462764
/albaletti,tt9362722,tt14849194,tt14230458,tt10366206,tt27502227 ,,
