,,MIRALOS MORIR TOP 5 2022,,,,,,,,,
MMITER,TOP 5,TOP 4,TOP 3,TOP 2,TOP 1,ARGENTINA CAMPEÓN,PORONGA 5,PORONGA 4,PORONGA 3,PORONGA 2,PORONGA 1
Lucas Scheefer,Barbarian,X,Something in the Dirt,Top Gun: Maverick,Crimes of the future,MUCHAAACHOOOS,,,,,
Lucho,Everything Everywhere All at Once,Terrifier 2,Elvis,"Argentina, 1985",Top Gun: Maverick,MUCHAAACHOOOS,Granizo,Black Adam,Fantastic Beasts: The Secrets of Dumbledore,Morbius,Hocus pocus 2
GaryBusy,Top Gun: Maverick,Barbarian,X,The Northman,Something in the Dirt ,"¿QUÉ MIRÁ? ANDÁ PA'LLÁ, BOBO",Everything Everywhere All at Once,Memory,Morbius,Black Adam,Uncharted
Martin Goniondzki,Barbarian,"Argentina, 1985",Top Gun: Maverick,The Fabelmans,The Banshees of Inisherin,"¿QUÉ MIRÁ? ANDÁ PA'LLÁ, BOBO",The Twin,Moonfall,Morbius,Granizo,30 Noches con mi ex 
Lucio B,After Yang,Decision to Leave,Nope,The Souvenir: Part II,Top Gun: Maverick,"¿QUÉ MIRÁ? ANDÁ PA'LLÁ, BOBO",,,Men,Blonde,Thor: Love and Thunder
Tishey,Emily The Criminal,Licorice Pizza,Hellbender,Pleasure,Top Gun: Maverick,MUCHAAACHOOOS,,,,,
alangmonzon ,"Argentina, 1985",Crimes of the future,The Unbearable Weight of Massive Talent,Pequeña Flor,Decision to Leave,"I FUCKED YOU TWICE, ¿QUÉ MIRÁ? ANDÁ PA'LLÁ, BOBO, ES OTRO FÚTBOL PRESIDENTE, MUCHAAACHOOOS",,,,Nope,Olaf
@Diego_el_fugado,Barbarian,The Unbearable Weight of Massive Talent,The Northman,Prey,The Black Phone,ES OTRO FÚTBOL PRESIDENTE,,,Where the Crawdads Sing,Amsterdam,Smile
@hitoshidiaz,Everything Everywhere All at Once,Vengeance,Bararian,Licorice Pizza,Top Gun: Maverick,"¿QUÉ MIRÁ? ANDÁ PA'LLÁ, BOBO",,Black Adam,Blonde,Lightyear,Olaf
May,"Argentina, 1985",Aftersun,Top Gun: Maverick,Crimes of the future,Decision to Leave,"¿QUÉ MIRÁ? ANDÁ PA'LLÁ, BOBO","Bodies, Bodies, Bodies",Un crimen argentino,The Grey man,Thor: Love and Thunder,Blonde
@noelyas,The Fabelmans,The Northman,Athena,Red Rocket,The Banshees of Inisherin,"I FUCKED YOU TWICE, ¿QUÉ MIRÁ? ANDÁ PA'LLÁ, BOBO, MUCHAAACHOOOS",Fantastic Beasts: The Secrets of Dumbledore,Men,Death on the Nile,Halloween Ends,Olaf
Yani ,Huesera,The Unbearable Weight of Massive Talent,Crimes of the future,The Northman,Luminum,I FUCKED YOU TWICE,,,,,
Clauhernan73,"Argentina, 1985",Barbarian,Prey,Pearl,Top Gun: Maverick,"I FUCKED YOU TWICE, ¿QUÉ MIRÁ? ANDÁ PA'LLÁ, BOBO, ES OTRO FÚTBOL PRESIDENTE, MUCHAAACHOOOS",Studio 666,Texas chainsaw massacre,"Bodies, Bodies, Bodies",Granizo,Olaf
FedeC,The Northman,As Bestas,The Banshees of Inisherin,Pearl,Licorice Pizza,"¿QUÉ MIRÁ? ANDÁ PA'LLÁ, BOBO",Mr Harrigan's Phone,Medida Provisória,Bad luck banging or loony porn,Stutz,Senior Year
Edgardo,RRR,This Much I Know to be True,Espiritu sagrado,X,Aftersun,"¿QUÉ MIRÁ? ANDÁ PA'LLÁ, BOBO","Don't Worry, Darling",Men,,,
@mauroelninja,The Banshees of Inisherin,Huesera,As Bestas,Athena,Top Gun: Maverick,"¿QUÉ MIRÁ? ANDÁ PA'LLÁ, BOBO",Death on the Nile,Deep Water,Moonfall,Terrifier 2,Nope
@IaiIu,Crimes of the future,"Argentina, 1985 ",Huesera,Aftersun,The Banshees of Inisherin,MUCHAAACHOOOS,Fantastic Beasts: The Secrets of Dumbledore,Elvis,Speak No Evil,Men,Ecos de un crimen
Santee,The Northman,Aftersun,"Argentina, 1985",Decision to Leave,Huesera,"¿QUÉ MIRÁ? ANDÁ PA'LLÁ, BOBO",Speak No Evil,Matar a la bestia,Glorious,Hoy se arregla el mundo,Dangerous
Nati,After Yang,Aftersun,Moonage Daydream,As Bestas,The Banshees of Inisherin,ES OTRO FÚTBOL PRESIDENTE,,,,The Sadness,Olaf
Hernán Rodríguez ,Aftersun,Saudade fez morada aquí dentro,"Argentina, 1985",Trenque Lauquen,Licorice Pizza,MUCHAAACHOOOS,Pacifiction,Dangerous games: the legacy,Blonde,The Grey man,Olaf
Santi,Top Gun: Maverick,Crimes of the future,Decision to Leave,The Fabelmans,"Argentina, 1985",I FUCKED YOU TWICE,Blonde,"Bodies, Bodies, Bodies",Men,Thor: Love and Thunder,Olaf
@Lavtaro,Crimes of the future,Barbarian,Pearl,Licorice Pizza,X,"I FUCKED YOU TWICE, ¿QUÉ MIRÁ? ANDÁ PA'LLÁ, BOBO, ES OTRO FÚTBOL PRESIDENTE, MUCHAAACHOOOS",,,Dune,Elvis,Ecos de un crimen
El Anton,Nope,Prey,As Bestas,Top Gun: Maverick,The Banshees of Inisherin,"¿QUÉ MIRÁ? ANDÁ PA'LLÁ, BOBO",The bubble,Uncharted,Fantastic Beasts: The Secrets of Dumbledore,Black Adam,Speak No Evil
MayerMatias,New York Ninja,The Northman,RRR,Licorice Pizza,Top Gun: Maverick,"I FUCKED YOU TWICE, ¿QUÉ MIRÁ? ANDÁ PA'LLÁ, BOBO, ES OTRO FÚTBOL PRESIDENTE, MUCHAAACHOOOS",30 noches con mi ex,The Menu,Everything Everywhere All at Once,Black Adam,Olaf
@pepo_fco,"Argentina, 1985",Everything Everywhere All at Once,Pequeña Flor,Nightmare Alley,Licorice Pizza,I FUCKED YOU TWICE,Avatar: The Way of Water,Más respeto que soy tu madre,Black Panther: Wakanda Forever,Amsterdam,Elvis
@ferheinz,The Northman,The Banshees of Inisherin,Nope,Top Gun: Maverick,Everything Everywhere All at Once,"I FUCKED YOU TWICE, ¿QUÉ MIRÁ? ANDÁ PA'LLÁ, BOBO, ES OTRO FÚTBOL PRESIDENTE, MUCHAAACHOOOS",,,Thor: Love and Thunder,Mad Heidi,Jurassic world: Dominion
El_Diegot3,Prey,Crimes of the future,Nope,The Batman,Everything Everywhere All at Once,MUCHAAACHOOOS,,Elvis,Morbius,Cha Cha Real Smooth,Olaf
@estrasnoy,The Unbearable Weight of Massive Talent,Guillermo del Toro's Pinocchio ,Aftersun,The Banshees of Inisherin,Huesera,"I FUCKED YOU TWICE, ¿QUÉ MIRÁ? ANDÁ PA'LLÁ, BOBO, ES OTRO FÚTBOL PRESIDENTE, MUCHAAACHOOOS","Don't Worry, Darling ",Men,Elvis,Fantastic Beasts: The Secrets of Dumbledore,Granizo
Juan Navarro,The Unbearable Weight of Massive Talent,"Argentina, 1985",El Método Tangalanga,The Banshees of Inisherin,Top Gun: Maverick,ES OTRO FÚTBOL PRESIDENTE,Death on the Nile,Fantastic Beasts: The Secrets of Dumbledore,Roald Dahl's Matilda the Musical,Uncharted,Olaf
Ivana,The Northman,Top Gun: Maverick,Licorice Pizza,Aftersun,Crimes of the future,MUCHAAACHOOOS,,,,,Marry Me 
