,,,,,,,
,PUESTO 5,PUESTO 4,PUESTO 3,PUESTO 2,PUESTO 1,,PORONGA 
Pepo,The Fabelmans,Oppenheimer,Trenque Lauquen,Cuando acecha la maldad,Killers of the Flower Moon,,Guardians of the Galaxy Vol. 3
Martín G.,Anatomy of a Fall,The Holdovers,Killers of the Flower Moon,Fallen Leaves,Poor Things,,Sound of Freedom
Ivan ,Killers of the Flower Moon,Scream 6,Misántropo,La Sociedad de la Nieve,Poor Things,,Winnie The Pooh: Blood and Honey
Ale,Cerrar los ojos,No voy a pedirle a nadie que me crea,Cuando acecha la maldad,Poor Things,John Wick: Chapter 4,,Sound of Freedom
Santi,Misántropo,Cuando acecha la maldad,Cerrar los ojos,Killers of the Flower Moon,Poor Things,,Winnie The Pooh: Blood and Honey
May,Killers of the Flower Moon,The Beast ,Trenque Lauquen,Cuando acecha la maldad,Poor Things,,Saltburn
Tishey,Reality,Are you there god? It’s me Margaret,As Bestas,Anatomy of a Fall,Cuando acecha la maldad,,Manodrome
Fernandojs,Poor Things,Los Delincuentes,The Holdovers,Trenque Lauquen,Cerrar los ojos,,Barbie
GaryBusy,The Holdovers,Infinity Pool,Los Delincuentes,Killers of the Flower Moon,Poor Things,,The Flash
El Pícaro,Master Gardener,Los Delincuentes,Killers of the Flower Moon,Dream Scenario ,Poor Things,,Blondi
Matías ,Fallen Leaves,Pearl *,The Fablemans,Cuando acecha la maldad,Killers of the Flower Moon,,El duelo
Fede C,Teenage Mutant Ninja Turtles: Mutant Mayhem,La sociedad de la nieve,Anatomy of a Fall,Killers of the Flower Moon,Poor Things,,You People
Vicky,Dream Scenario,Anatomy of a Fall,Killers of the Flower Moon*,Totally Killer,Barbie,,Leave the World Behind
Alan,Puan,Killers of the Flower Moon,Clorindo Testa,Dream Scenario,Poor Things,,Nope -  un año más por continuidad transitiva
Hitoshi,Air,Cuando acecha la maldad,Aftersun,Los Delincuentes,La sociedad de la nieve,,Blondi
Marce,Killers of the Flower Moon,Anatomy of a Fall,El Juicio,Los Delincuentes,Cuando acecha la maldad,,Sara Facio: haber estado ahí
Ferheinz,John Wick: Chapter 4,The Killer,Killers of the Flower Moon,Poor Things,Cuando acecha la maldad,,Ant-Man and The Wasp: Quantumania
Clau,Silent night,Talk to me,MANDÓ UNA SERIE,Anatomy of a fall,Cuando acecha la maldad,,The Flash
Nati,,,,,Poor Things,,Soft & Quiet
Yani,Cocaine bear,Puan,La Sociedad de la Nieve,Cerrar los ojos,Killers of the Flower Moon,,Your place or mine
NOELYAS,Misántropo,John Wick: Chapter 4,Cuando acecha la maldad,Killers of the Flower Moon,Poor Things,,A Haunting in Venice
Basophium,Anatomy of a Fall,Mantícora,Cerrar los ojos,Cuando acecha la maldad,Poor Things,,Skinamarink
Lavtaro,El Santo,Cuando acecha la maldad,Killers of the Flower Moon,La vida a oscuras,El Juicio,,Dune*
Anton,Misántropo,John Wick: Chapter 4,Cuando acecha la maldad,Anatomy of a Fall,Killers of the Flower Moon,,Ant-Man and the Wasp: Quantumania
Diego,Misántropo,Veré siempre sus rostros,Anatomy of a Fall,No One Will Save You,Poor Things,,Barbie
Lucho,Cuando acecha la maldad,John Wick: Chapter 4,Spiderman across the spiderverse,Oppenheimer,Killers of the Flower Moon,,The Flash
Mar,The Fabelmans,Cuando acecha la maldad,Killers of the Flower Moon,Barbie,Anatomy of a Fall,,Knock at the Cabin
Lailu,Los Delincuentes,Cuando acecha la maldad,Killers of the Flower Moon,John Wick: Chapter 4,Poor Things,,Elecciones Presidenciales Argentina 2023
Hernan,Trenque Lauquen,Fallen Leaves,Killers of the Flower Moon,Anatomy of a Fall,Poor Things,,Marlowe
Santee,Mantícora,Killers of the Flower Moon,Cuando acecha la maldad,Fallen Leaves,Poor Things,,Darío Benedetto 
Juan,La Sociedad de la Nieve,Tetris,Misántropo,The Holdovers,Killers of the Flower Moon,,Ant-Man and the Wasp: Quantumania
Agus,Killers of the Flower Moon,John Wick: Chapter 4,Barbie,Poor Things,Cuando acecha la maldad,,Sound of Freedom
Pablo,Cuando acecha la maldad,Teenage Mutant Ninja Turtles: Mutant Mayhem,Home for Rent,Killers of the Flower Moon,Poor Things,,Aquaman and the Lost Kingdom
El Diegot,Beau is Afraid,Mantícora,The Holdovers,Poor Things,Cuando acecha la maldad,,Skinamarink
Fedeambrosetti,Viedma,Los delincuentes,Mantícora,Trenque Lauquen,Cuando acecha la maldad,,La uruguaya
Evil,,,,Scream VI,Oppenheimer,,Elijo creer
CHINO SILVA,Killers of the Flower Moon,Barbie,La Sociedad de la Nieve,John Wick: Chapter 4,Evil Dead Rise ,,Indianan Jones and the Dial of Destiny
Albano,Spiderman Across Th Sipderverse,The Holdovers,Poor Things,John Wick: Chapter 4,Retratos Fantasmas ,,
