Marca temporal,¿Quién sos? Tu nombre o @ de Telegram.,"MEJORES 2024   *nombre de la peli y link IMDB
#10","MEJORES 2024   *nombre de la peli y link IMDB
#9","MEJORES 2024   *nombre de la peli y link IMDB
#8","MEJORES 2024   *nombre de la peli y link IMDB
#7","MEJORES 2024   *nombre de la peli y link IMDB
#6","MEJORES 2024   *nombre de la peli y link IMDB
#5","MEJORES 2024   *nombre de la peli y link IMDB
#4","MEJORES 2024  *nombre de la peli y link IMDB
#3","MEJORES 2024   *nombre de la peli y link IMDB
#2","MEJORES 2024 *nombre de la peli y link IMDB   
#1",PORONGA #3 2024  que consideres que merece el escarnio público y todo nuestro desprecio  *nombre de la peli y link IMDB,PORONGA #2 2024  que consideres que merece el escarnio público y todo nuestro desprecio  *nombre de la peli y link IMDB,PORONGA #1 2024  que merece el escarnio público y todo nuestro desprecio  *nombre de la peli y link IMDB
30/12/2024 18:57:52,El Picaro,Alien: Romulus - https://www.imdb.com/es-es/title/tt18412256/,The Devil’s Bath - https://www.imdb.com/es-es/title/tt29141112/,Kinds of Kindness - https://www.imdb.com/es-es/title/tt22408160/,Rebel Ridge - https://www.imdb.com/es-es/title/tt11301886/,Transformers One - https://www.imdb.com/es-es/title/tt8864596/,Sasquatch Sunset - https://www.imdb.com/es-es/title/tt30180830/,The Substance - https://www.imdb.com/es-es/title/tt17526714/, A Different Man - https://www.imdb.com/es-es/title/tt21097228/,Red Rooms - https://www.imdb.com/es-es/title/tt22207786/,The Zone of Interest https://www.imdb.com/es-es/title/tt7160372/,Joker: Folie à Deux - https://www.imdb.com/es-es/title/tt11315808/,Megalopolis - https://www.imdb.com/es-es/title/tt10128846/,Nope - https://www.imdb.com/es-es/title/tt10954984/
31/12/2024 12:17:49,Matias Mayer,Will & Harper https://www.imdb.com/es-es/title/tt30321133/,Arturo a los 30 https://www.imdb.com/title/tt26342673,Furiosa: de la saga Mad Max https://www.imdb.com/title/tt12037194,Los colonos https://www.imdb.com/title/tt10370812,El baño del diablo https://www.imdb.com/es-es/title/tt29141112,Rebel Ridge https://www.imdb.com/title/tt11301886,La sustancia https://www.imdb.com/title/tt17526714,El mal no existe - https://www.imdb.com/es-es/title/tt28490044,Caminos Cruzados https://www.imdb.com/title/tt27417166,Pobres Criaturas https://www.imdb.com/title/tt14230458,"¿Estas ahí Dios? Soy yo, Margaret https://www.imdb.com/es-es/title/tt9185206",Passagges https://www.imdb.com/es-es/title/tt16252698,Las hermanas fantásticas https://www.imdb.com/es-es/title/tt33054529
31/12/2024 21:12:49,Santi,Challengers https://www.imdb.com/es-es/title/tt16426418/,Juror #2 https://www.imdb.com/es-es/title/tt27403986/,Alemania https://www.imdb.com/es-es/title/tt15475516/,Después de Un buen día https://www.imdb.com/es-es/title/tt32901835/,The Seed of The Sacred Fig https://www.imdb.com/es-es/title/tt32178949/,"Algo viejo, algo nuevo, algo prestado https://www.imdb.com/es-es/title/tt32128950/",The Substance https://www.imdb.com/es-es/title/tt17526714/,Red Rooms https://www.imdb.com/es-es/title/tt22207786/,Furiosa: A Mad Max Saga https://www.imdb.com/es-es/title/tt12037194/,Anora https://www.imdb.com/es-es/title/tt28607951/,Joker: Folie à Deux https://www.imdb.com/es-es/title/tt11315808/,Megalópolis https://www.imdb.com/es-es/title/tt10128846/,Emilia Pérez https://www.imdb.com/es-es/title/tt20221436/
1/01/2025 20:16:39,Gary Busy,Strange Darling- tt22375054,Challengers- tt16426418,Civil War- tt17279496,Los Colonos- tt10370812,Alien Romulus- tt18412256,Anora- tt28607951,Longlegs- tt23468450,Red Rooms- tt22207786,The Substance- tt17526714,Rebel Ridge-  tt11301886,Venom: Last Dance- tt16366836,Argylle-  tt15009428,Lift- tt14371878
2/01/2025 7:39:19,claudio,Los Colonos      https://www.imdb.com/es/title/tt10370812/?ref_=ext_shr_lnk,My Old Ass    https://www.imdb.com/es/title/tt18559464/?ref_=ext_shr_lnk,Strange Darling https://www.imdb.com/es/title/tt22375054/?ref_=ext_shr_lnk,Lonlegs https://www.imdb.com/es/title/tt23468450/?ref_=ext_shr_lnk,Rebel Ridge    https://www.imdb.com/es/title/tt11301886/?ref_=ext_shr_lnk,Civil War  https://www.imdb.com/es/title/tt17279496/?ref_=ext_shr_lnk,anora https://www.imdb.com/es/title/tt28607951/?ref_=ext_shr_lnk,Poor things   https://www.imdb.com/es/title/tt14230458/?ref_=ext_shr_lnk,The Substance   https://www.imdb.com/es/title/tt17526714/?ref_=ext_shr_lnk,Les chambres rouges  https://www.imdb.com/es/title/tt22207786/?ref_=ext_shr_lnk,nahir https://www.imdb.com/es/title/tt32267351/?ref_=ext_shr_lnk,It ends with Us https://www.imdb.com/es/title/tt10655524/?ref_=ext_shr_lnk,Emilia Perez https://www.imdb.com/es/title/tt20221436/?ref_=ext_shr_lnk
3/01/2025 14:11:39,@mishilvina,LONGLESS: COLECCIONISTA DE ALMAS https://www.imdb.com/es/title/tt23468450/?ref_=nv_sr_srsg_1_tt_7_nm_0_in_0_q_LONGLESS,ANATOMÍA DE UNA CAÍDA https://www.imdb.com/es/title/tt17009710/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_ANATOMY%2520OF%2520A,HACE MUCHO QUE NO DUERMO https://www.imdb.com/es/title/tt23036192/?ref_=fn_all_ttl_1,TIPOS DE GENTILEZA https://www.imdb.com/es/title/tt22408160/?ref_=nv_sr_srsg_1_tt_7_nm_0_in_0_q_KIND%2520OF%2520KIDNESS,REBEL RIDGE https://www.imdb.com/es/title/tt11301886/?ref_=nv_sr_srsg_1_tt_7_nm_0_in_0_q_REBEL%2520RIDGE,BIRTH/REBIRTH https://www.imdb.com/es/title/tt9048804/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_BIRTH%2520REB,SECRETOS DE UN ESCÁNDALO https://www.imdb.com/es/title/tt13651794/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_MAY%2520DECEMBER,EL HOMBRE DE LOS SUEÑOS https://www.imdb.com/es/title/tt21942866/?ref_=nv_sr_srsg_0_tt_3_nm_0_in_0_q_DREAM%2520SCENARIO,ALIEN: ROMULUS https://www.imdb.com/es/title/tt18412256/?ref_=nv_sr_srsg_2_tt_1_nm_1_in_0_q_ALIEN%2520ROMULUS,LAS HABITACIONES ROJAS https://www.imdb.com/es/title/tt22207786/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_leschambresrouges,,MADAME WEB https://www.imdb.com/es/title/tt11057302/?ref_=nv_sr_srsg_0_tt_2_nm_3_in_0_q_MADAME%2520WEBB,EMILIA PÉREZ https://www.imdb.com/es/title/tt20221436/?ref_=nv_sr_srsg_2_tt_1_nm_5_in_0_q_EMILIA%2520PER
4/01/2025 22:13:29,Tishey,The Wild Robot - https://www.imdb.com/title/tt29623480/,Snack Shack - https://www.imdb.com/title/tt22004344/,Anatomy of a fall - https://www.imdb.com/title/tt17009710/,A Real pain - https://www.imdb.com/title/tt21823606/,My old ass - https://www.imdb.com/title/tt18559464/,Flow - https://www.imdb.com/title/tt4772188/,Longlegs - https://www.imdb.com/title/tt23468450/,Rebel Ridge - https://www.imdb.com/title/tt11301886/,Strange Darling - https://www.imdb.com/title/tt22375054/,Red Rooms - https://www.imdb.com/title/tt22207786/,Emilia Perez,Madame Web,Venom 3
6/01/2025 10:40:37,May,Alemania (2023) https://www.imdb.com/es-es/title/tt15475516/,Love Lies Bleeding (2024) https://www.imdb.com/es-es/title/tt19637052/,Anora (2024) https://www.imdb.com/es-es/title/tt28607951/,Godzilla Minus One (2023) https://www.imdb.com/es-es/title/tt23289160/,The Devil´s Bath (2024) https://www.imdb.com/es-es/title/tt29141112/,Longlegs (2024) https://www.imdb.com/es-es/title/tt23468450/,Rebel Ridge (2024) https://www.imdb.com/es-es/title/tt11301886/,Strange Darling (2024) https://www.imdb.com/es-es/title/tt22375054/,Dune: Part Two (2024) https://www.imdb.com/es-es/title/tt15239678/,The Substance (2024) https://www.imdb.com/es-es/title/tt17526714/,The Crow (2024) https://www.imdb.com/es-es/title/tt1340094/,Boy Kills World (2024) https://www.imdb.com/es-es/title/tt13923084/,Joker: Follie á Deux (2024) https://www.imdb.com/es-es/title/tt11315808/
6/01/2025 11:45:18,Lucho73r, Hereje https://www.imdb.com/es-es/title/tt28015403/?ref_=ext_shr_lnk,The Fall Guy https://www.imdb.com/es-es/title/tt1684562/?ref_=ext_shr_lnk,Conclave https://www.imdb.com/es-es/title/tt20215234/?ref_=ext_shr_lnk,Gladiator 2 https://www.imdb.com/es-es/title/tt9218128/?ref_=ext_shr_lnk,Juror Nro2 https://www.imdb.com/es-es/title/tt27403986/?ref_=ext_shr_lnk,Civil War https://www.imdb.com/es-es/title/tt17279496/?ref_=ext_shr_lnk,Longlegs https://www.imdb.com/es-es/title/tt23468450/?ref_=ext_shr_lnk,Abigail https://www.imdb.com/es-es/title/tt27489557/?ref_=ext_shr_lnk,Strange Darling https://www.imdb.com/es-es/title/tt22375054/?ref_=ext_shr_lnk,La Renga-totalmente poseidos https://www.imdb.com/es-es/title/tt32065524/?ref_=ext_shr_lnk,The Crow https://www.imdb.com/es-es/title/tt1340094/?ref_=ext_shr_lnk,Joker 2 https://www.imdb.com/es-es/title/tt11315808/?ref_=ext_shr_lnk,Madame Webb https://www.imdb.com/es-es/title/tt11057302/?ref_=ext_shr_lnk
6/01/2025 12:22:43,@noelyas,Rebel Ridge https://www.imdb.com/title/tt11301886/,All of us strangers https://www.imdb.com/title/tt21192142/,Strange Darling https://www.imdb.com/title/tt22375054,Godzilla minus one https://www.imdb.com/title/tt23289160/,Kinds of Kindness https://www.imdb.com/title/tt22408160,Red Rooms https://www.imdb.com/title/tt22207786,Nosferatu https://www.imdb.com/title/tt5040012,Poor Things https://www.imdb.com/title/tt14230458,Anora https://www.imdb.com/title/tt28607951,The Substance https://www.imdb.com/title/tt17526714,,,Megalopolis https://www.imdb.com/title/tt10128846
6/01/2025 16:58:30,JoiaNunez,Kneecap - https://m.imdb.com/title/tt27367464/?ref_=nv_sr_srsg_0_tt_4_nm_4_in_0_q_kneecap,Drive away dolls - https://m.imdb.com/title/tt19356262/?ref_=tt_mv_close,Kinds of kindness - https://m.imdb.com/title/tt22408160/?ref_=nv_sr_srsg_1_tt_6_nm_1_in_0_q_kinds%2520,Anora - https://m.imdb.com/title/tt28607951/?ref_=nv_sr_srsg_1_tt_5_nm_2_in_0_q_anor,Rebel ridge - https://m.imdb.com/title/tt11301886/?ref_=nv_sr_srsg_0_tt_7_nm_1_in_0_q_rebel,The substance - https://m.imdb.com/title/tt17526714/?ref_=nv_sr_srsg_1_tt_6_nm_1_in_0_q_substanc,The last stop in Yuma county - https://m.imdb.com/title/tt11674730/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_last%2520stop,Parthenope - https://m.imdb.com/title/tt23853982/?ref_=nv_sr_srsg_0_tt_7_nm_1_in_0_q_parthen,Strange Darling - https://m.imdb.com/title/tt22375054/?ref_=nv_sr_srsg_0_tt_6_nm_2_in_0_q_stramg,Red rooms - https://m.imdb.com/title/tt22207786/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_red%2520roo,Challengers - https://m.imdb.com/title/tt16426418/,Y2K - https://m.imdb.com/title/tt27218960/?ref_=nv_sr_srsg_0_tt_7_nm_1_in_0_q_y2k,Beetlejuice Beetlejuice - https://m.imdb.com/title/tt2049403/?ref_=nv_sr_srsg_1_tt_5_nm_2_in_0_q_beetlejui
13/01/2025 9:31:32,Martín Goniondzki,Fly me to the Moon  https://www.imdb.com/es/title/tt1896747/?ref_=nv_sr_srsg_0_tt_4_nm_4_in_0_q_Fly%2520,The Fall Guy https://www.imdb.com/es/title/tt1684562/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_the%2520fall%2520guy%2520,Juror #2 https://www.imdb.com/es/title/tt27403986/?ref_=nv_sr_srsg_0_tt_7_nm_1_in_0_q_Juror,The Room Next Door https://www.imdb.com/es/title/tt29439114/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_La%2520habitacion%2520de%2520al%2520,Longlegs https://www.imdb.com/es/title/tt23468450/?ref_=nv_sr_srsg_0_tt_4_nm_4_in_0_q_longlegs,Challengers https://www.imdb.com/es/title/tt16426418/?ref_=nv_sr_srsg_1_tt_7_nm_0_in_0_q_challengers,"Algo viejo, algo nuevo, algo prestado https://www.imdb.com/es/title/tt32128950/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_algo%2520v",Les Chambres Rouges https://www.imdb.com/es/title/tt22207786/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_les%2520chambres%2520,Anora https://www.imdb.com/es/title/tt28607951/?ref_=nv_sr_srsg_1_tt_3_nm_4_in_0_q_anora,The Substance https://www.imdb.com/es/title/tt17526714/?ref_=nv_sr_srsg_1_tt_7_nm_0_in_0_q_the%2520subtance%2520,The Crow https://www.imdb.com/es/title/tt1340094/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_el%2520cuervo,El Silencio de Marcos Tremmer https://www.imdb.com/es/title/tt27556452/?ref_=nv_sr_srsg_6_tt_8_nm_0_in_0_q_el%2520silencio%2520,Megaporongolis https://www.imdb.com/es/title/tt10128846/?ref_=nv_sr_srsg_0_tt_6_nm_2_in_0_q_Megalop
16/01/2025 19:38:07,@Vicky_Picky,A Real Pain https://www.imdb.com/es-es/title/tt21823606,The Seed of the Sacred Fig https://www.imdb.com/es-es/title/tt32178949,Oddity https://www.imdb.com/es-es/title/tt26470109,A Different Man https://www.imdb.com/es-es/title/tt21097228,Poor Things https://www.imdb.com/es-es/title/tt14230458/,Heretic https://www.imdb.com/es-es/title/tt28015403,Civil War https://www.imdb.com/es-es/title/tt17279496ps://www.imdb.com/es-es/title/tt14230458/,The Substance https://www.imdb.com/es-es/title/tt17526714,Nosferatu https://www.imdb.com/es-es/title/tt5040012,Red Rooms https://www.imdb.com/es-es/title/tt22207786,Madame Web https://www.imdb.com/es-es/title/tt11057302,Megalópolis https://www.imdb.com/es-es/title/tt10128846,Emilia Pérez https://www.imdb.com/es-es/title/tt20221436
17/01/2025 11:05:34,EvilIpa,Maxxxine - tt22048412,Beetlejuice Beetlejuice - tt2049403,Dune Part 2 - tt15239678,Strange Darling - tt22375054,Rebel Ridge - tt11301886,A Different Man - tt21097228,Poor Things - tt14230458,Red Rooms - tt22207786,Anora - tt28607951,The Substance - tt17526714,,,
