Marca temporal,¿Quién sos? Tu nombre o @ de Telegram.,"MEJORES 2025   *nombre de la peli y link IMDB
#10","MEJORES 2025   *nombre de la peli y link IMDB
#9","MEJORES 2025   *nombre de la peli y link IMDB
#8","MEJORES 2025   *nombre de la peli y link IMDB
#7","MEJORES 2025   *nombre de la peli y link IMDB
#6","MEJORES 2025   *nombre de la peli y link IMDB
#5","MEJORES 2025   *nombre de la peli y link IMDB
#4","MEJORES 2025  *nombre de la peli y link IMDB
#3","MEJORES 2025   *nombre de la peli y link IMDB
#2","MEJORES 2025 *nombre de la peli y link IMDB   
#1",LA MÁS MEJOR QUE VÍ ESTE AÑO ES  *nombre de la peli y link IMDB,PORONGA #3 2025 que merece el escarnio público y todo nuestro desprecio  *nombre de la peli y link IMDB,PORONGA #2 2025 que merece el escarnio público y todo nuestro desprecio  *nombre de la peli y link IMDB,PORONGA #1 2025 que merece el escarnio público y todo nuestro desprecio  *nombre de la peli y link IMDB
16/12/2025 14:26:26,@hitoshidiaz,gran theft hamlet https://www.imdb.com/es/title/tt28244549/?ref_=ext_shr_lnk,La dicha en movimiento https://www.imdb.com/es/title/tt38532052/?ref_=ext_shr_lnk,Le città di pianura https://www.imdb.com/es/title/tt36491632/?ref_=ext_shr_lnk,Here https://www.imdb.com/es/title/tt18272208/?ref_=nv_sr_srsg_3_tt_7_nm_1_in_0_q_here%2520,Familia en renta https://www.imdb.com/es/title/tt14142060/?ref_=ext_shr_lnk,paying for it https://www.imdb.com/es/title/tt27170114/?ref_=fn_t_1,Betterman https://www.imdb.com/es/title/tt14260836/?ref_=ext_shr_lnk,A complete unknown https://www.imdb.com/es/title/tt11563598/?ref_=ext_shr_lnk,One battle after another https://www.imdb.com/es/title/tt30144839/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_one%2520battle,La virgen de la Tosquera https://www.imdb.com/es/title/tt15460036/?ref_=ext_shr_lnk,Nouvelle vague https://www.imdb.com/es/title/tt31688586/?ref_=ext_shr_lnk,4 fantásticos https://www.imdb.com/es/title/tt10676052/?ref_=ext_shr_lnk,Emilia Perez https://www.imdb.com/es/title/tt20221436/?ref_=ext_shr_lnk,Homo Argentum https://www.imdb.com/es/title/tt34996428/?ref_=ext_shr_lnk
18/12/2025 12:01:52,Lucho73r,Rebel Ridge https://www.imdb.com/es-es/title/tt11301886/?ref_=ext_shr_lnk,Destino Final Bloodlines https://www.imdb.com/es-es/title/tt9619824/?ref_=ext_shr_lnk,F1 https://www.imdb.com/es-es/title/tt16311594/?ref_=ext_shr_lnk,GATILLERO https://www.imdb.com/es-es/title/tt35974872/?ref_=ext_shr_lnk,KPOP DEMON HUNTER https://www.imdb.com/es-es/title/tt14205554/?ref_=ext_shr_lnk,BRING HER BACK https://www.imdb.com/es-es/title/tt32246771/?ref_=ext_shr_lnk,SINNERS https://www.imdb.com/es-es/title/tt31193180/?ref_=ext_shr_lnk,MISION IMPOSIBLE SENTENCIA FINAL https://www.imdb.com/es-es/title/tt31193180/?ref_=ext_shr_lnk,FRANKESTEIN https://www.imdb.com/es-es/title/tt30144839/?ref_=ext_shr_lnk,UNA BATALLA TRAS OTRA https://www.imdb.com/es-es/title/tt30144839/?ref_=ext_shr_lnk,UNA BATALLA TRAS OTRA https://www.imdb.com/es-es/title/tt30144839/?ref_=ext_shr_lnk,JURASSIC PARK REBIRTH https://www.imdb.com/es-es/title/tt31036941/?ref_=ext_shr_lnk,VHS HALLOWEN https://www.imdb.com/es-es/title/tt37676033/?ref_=ext_shr_lnk,POPEYE THE SLASHER MAN https://www.imdb.com/es-es/title/tt30956852/?ref_=ext_shr_lnk
31/12/2025 20:53:22,Santi,Nouvelle Vague https://www.imdb.com/es-es/title/tt31688586/,Better Man https://www.imdb.com/es-es/title/tt14260836/,Reflet Dans Un Diamant Mort https://www.imdb.com/es-es/title/tt32263401/,"Bajo las banderas, el sol https://www.imdb.com/es-es/title/tt32279108/",It Was Just an Accident https://www.imdb.com/es-es/title/tt36491653,La virgen de la tosquera https://www.imdb.com/es-es/title/tt15460036,Sentimental Value https://www.imdb.com/es-es/title/tt27714581,Bring Her Back https://www.imdb.com/es-es/title/tt32246771/,September 5 https://www.imdb.com/es-es/title/tt28082769/,One Battle After Another https://www.imdb.com/es-es/title/tt30144839/,Mulholland Drive (2001)  https://www.imdb.com/es-es/title/tt0166924/,Sirat https://www.imdb.com/es-es/title/tt32298285,Materialists https://www.imdb.com/es-es/title/tt30253473/,Homo Argentum https://www.imdb.com/es-es/title/tt34996428/
1/01/2026 14:07:25,@CarolAPD,Primitive War tt18312380,The ugly stepsister tt29344903,"Sorry, Baby tt32843349",Bring her back tt32246771,Nosferatu tt5040012,The things you kill tt32367116,One battle after another t30144839,It was just an accident tt36491653,No other choice tt1527793,Reflet dans un diamant mort tt32263401,The Burning tt0082118,Jurassic World: Rebirth tt31036941,Blancanieves tt6208148,War of the Worlds tt13186306
1/01/2026 21:45:47,May,Sovereing - 2025 tt26843513,If I Had Legs I'd Kick You - 2025 - tt18382850,It Was Just An Accident - 2025 - tt36491653,Las Corrientes - 2025 - tt35746682,Weapons - 2025 - tt26581740,The Ugly Stepsister - 2025 - tt29344903,Sentimental Value - 2025 - tt27714581,Nosferatu - 2024 - tt5040012,Sinners - 2025 - tt31193180,One Battle After Another - 2025 - tt30144839,Nights of Cabiria - 1957 - tt0050783,The Gorge - 2025 - tt13654226,The War of the Worlds - 2025 - tt13186306,Homo Argentum - 2025 - tt34996428
2/01/2026 13:05:13,ponybiam,Y2K https://www.imdb.com/title/tt27218960/,The Monkey https://www.imdb.com/title/tt27714946/,The woman in the yard https://www.imdb.com/title/tt31314296/,One battle after another https://www.imdb.com/title/tt30144839/,Weapons https://www.imdb.com/title/tt26581740/,Keeper https://www.imdb.com/title/tt32332404/,The ugly stepsister https://www.imdb.com/title/tt29344903/,Bugonia https://www.imdb.com/title/tt12300742/,Bring her back https://www.imdb.com/title/tt32246771/,Sinners https://www.imdb.com/title/tt31193180/,el jockey https://www.imdb.com/title/tt28231777/,Mountainhead https://www.imdb.com/title/tt35396529/,"(vi pocas porongas, que bien que mal (?) Mountainhead https://www.imdb.com/title/tt35396529/","(vi pocas porongas, que bien que mal (?) Mountainhead https://www.imdb.com/title/tt35396529/"
4/01/2026 12:04:39,GaryBusy ,Jimmy and Stiggs /tt33372496/,Sinners /tt31193180/,Bring Her Back tt32246771/,Gatillero tt35974872/,The Ugly Stepsister tt29344903/,No Other Choice tt1527793/,Reflections in a dead diamond tt32263401/,Bugonia tt12300742/,Sentimental Value tt27714581/,One Battle After Another tt30144839/,Design by Living tt0023940/,The Amateur tt0899043/,G20 tt23476986/,The Calendar Killer  tt30292390/
5/01/2026 12:27:38,Marce,Zodiac killer project - tt34965959,Nouvelle vague - tt31688586,The stamp thief - tt34781820,La mujer de la fila - tt27698095,Valor sentimental  - tt27714581,Gatillero - tt35974872,Pecadores  - tt31193180,Un simple accidente - tt36491653,Anora -  tt28607951,Una batalla tras otra - tt30144839,Una batalla tras otra - tt30144839,,,Breakdown 1975 - tt38985973
5/01/2026 14:22:14,Vicky_Picky,Sinners tt31193180,Bring Her Back tt32246771,Better Man tt14260836,It Was Just an Accident tt36491653,La virgen de la tosquera tt15460036,The Seed of the Sacred Fig tt32178949,September 5 tt28082769,The Ugly Stepsister tt29344903,If I Had Legs I´d Kick you tt18382850,One Battle After Another tt30144839,Shiva Baby tt11317142,The Gorge tt13654226,Dead of a unicorn tt28443655,Refleaction in a Dead Diamond tt32263401
5/01/2026 14:35:41,@estrasnoy,Sisu 2 tt31844586,O agente secreto tt27847051,Gatillero tt35974872,Anora tt28607951,Nosferatu tt5040012,Sinners tt31193180,Queens of the Dead tt32986431,Una batalla tras otra tt30144839,Bring her back tt32246771,La hermanastra fea tt29344903,Con faldas y a lo loco tt0053291 ,Coyotes tt34581826,Los 4 Fantásticos: Primeros pasos tt10676052,Materialists tt30253473
